174835,398478,943825,1018825,1606498,1482636,2448843,2225563,2788134,2540226,2693948,2715607,1951915,2151604,1089703,1340468,616514,720054,515844
356252,637848,1216486,1933357,2339539,2758616,2873117,2941862,2467949,2467170,1984952,1826362,1208695,696119,783221,236387,243538,52166,14388
898596,460552,1628110,1885925,2561646,2236169,2637401,1873657,2295560,2282384,1477169,1788752,1685276,1215514,652388,472644,191698,557395,357084
138084,561495,952642,1319410,1282375,2017378,2384065,3433003,3543180,3787354,3196341,2930886,2808304,2617938,1987297,1166863,642298,191867,16240
295740,589890,1407528,1888256,2508537,2688438,2907047,2919928,3140627,2874843,2422166,1853678,1409125,1075030,808071,448438,205683,77663,11040
106281,205487,232277,435896,752561,1040016,1153736,1790744,1950804,1728029,2235331,1999930,1701460,1506702,1212139,515090,424200,90712,16720
23716,79310,229152,570212,841507,893648,939675,1226095,1779728,2041633,2153098,2426111,1964267,1526537,1653569,1144531,831539,361045,36335
178240,348595,622369,687755,829241,933432,1043965,1496326,1521389,2245037,1695533,1895864,1229855,1531456,1373163,1312220,1040469,549651,687648
582890,686620,1048239,942347,1011101,1743270,1422549,1743577,1624635,2468722,1741806,1327210,1329399,1617537,1012820,803745,727963,435470,247672
557830,1275029,1222499,724096,952146,1758748,2649814,2762143,2580872,2620057,2256189,1720262,1775000,1872000,1794744,1254713,703870,498368,166452
146657,471380,171813,322621,880183,882834,935525,964091,1151972,1260368,1152940,676388,828425,759996,515906,215809,97622,49568,27451
677990,464228,271748,1335850,1210792,1085746,1752474,2377481,1891558,2766495,2077148,1743357,2389842,1405790,1672212,1260640,1234870,620553,454858
237538,513285,941304,1032468,1463150,1612637,1677694,2138407,2206611,2534232,2079129,1590409,1574925,872556,885400,805713,428461,451091,36126
67680,303397,524338,860012,1229752,1674853,1623806,1424100,1992475,2452080,2921328,2246243,2580788,1912400,1497635,231167,765182,620342,567424
185600,593704,1370387,1653584,1892187,2140582,2238900,1909805,1718621,2469765,1866235,1262153,868484,1311253,632596,190110,191450,332530,105950
